origin_date,target_date,beta1_fcst,beta2_fcst,beta3_fcst
1996-06-30,1997-06-30,0.07206052964049983,-0.016663105423683072,-0.001994423822207888
1996-07-31,1997-07-31,0.07249669042888816,-0.016340114358912687,-0.0018149367452061098
1996-08-31,1997-08-31,0.07381211939108641,-0.017963720085959915,-0.001996459143613359
1996-09-30,1997-09-30,0.0721203792988938,-0.017147851923851584,-0.002273801329649331
1996-10-31,1997-10-31,0.06988497980758575,-0.015301461037289302,-0.00283348075751321
1996-11-30,1997-11-30,0.067937172608967,-0.013355127724142457,-0.0028539241386122457
1996-12-31,1997-12-31,0.06990096997643781,-0.015079847569819957,-0.0022519344526803916
1997-01-31,1998-01-31,0.07097293772086777,-0.016073601892675586,-0.0027546287208637093
1997-02-28,1998-02-28,0.07139022466970374,-0.015762031583741738,-0.002288328408625165
1997-03-31,1998-03-31,0.07359078325428221,-0.016466722986948946,-0.0015764190873332712
1997-04-30,1998-04-30,0.07224103138248501,-0.015984261474981446,-0.0017173643332825859
1997-05-31,1998-05-31,0.07158595117813443,-0.016333527383959507,-0.0018733790456899823
1997-06-30,1998-06-30,0.07070574778282658,-0.01509975937233298,-0.0018746289478921913
1997-07-31,1998-07-31,0.0671465111356107,-0.011691137741825192,-0.0018264653131273689
1997-08-31,1998-08-31,0.06953026164977104,-0.013756011876092116,-0.0017683852518937933
1997-09-30,1998-09-30,0.06759205841660164,-0.013061803333401545,-0.001795771098479098
1997-10-31,1998-10-31,0.06591639754248531,-0.01086190110148297,-0.001707386689619251
1997-11-30,1998-11-30,0.06533376448647342,-0.009309496780714521,-0.0006627842940089784
1997-12-31,1998-12-31,0.06423662350970563,-0.008578716782847391,-0.0007971685927707725
1998-01-31,1999-01-31,0.0634236010044639,-0.008746418866293158,-0.0021116231703337024
1998-02-28,1999-02-28,0.06430125841669193,-0.00872300151969938,-0.0016019129406327885
1998-03-31,1999-03-31,0.06420209188771091,-0.009017905452913163,-0.0013731236339008552
1998-04-30,1999-04-30,0.06408518403862713,-0.009847202846160103,-0.001410803323327819
1998-05-31,1999-05-31,0.06309067320723145,-0.008574887573305856,-0.0010701387248743218
1998-06-30,1999-06-30,0.0615672602999332,-0.00710598153732694,-0.000482916928074304
1998-07-31,1999-07-31,0.06218170009024721,-0.007951205753212025,-0.0008846931786390823
1998-08-31,1999-08-31,0.059063890755596864,-0.006705484792540233,-0.0023414640059486896
1998-09-30,1999-09-30,0.057189154745435365,-0.007958485792004366,-0.005284561714895272
1998-10-31,1999-10-31,0.058740044183224586,-0.01049931545565355,-0.006288474901303212
1998-11-30,1999-11-30,0.058099980941701664,-0.008512216554201781,-0.004486437120868932
1998-12-31,1999-12-31,0.05861953142637628,-0.009069924215627037,-0.004773539567085105
1999-01-31,2000-01-31,0.058191807104545294,-0.008664077205339425,-0.004812148429411196
1999-02-28,2000-02-29,0.06201677797474172,-0.011162915394434004,-0.0032549480297613927
1999-03-31,2000-03-31,0.06255430409584448,-0.012575629497259832,-0.004303074852039185
1999-04-30,2000-04-30,0.06247642277080677,-0.012476402181103578,-0.003986800680125318
1999-05-31,2000-05-31,0.0635149422087158,-0.01302531254041574,-0.0024088108911736973
1999-06-30,2000-06-30,0.06468722122870199,-0.013634652091962317,-0.0026403337484093336
1999-07-31,2000-07-31,0.06549392387063807,-0.014135912541851807,-0.0022459679919592025
1999-08-31,2000-08-31,0.06626432963264327,-0.01357618463928683,-0.0019932115232866752
1999-09-30,2000-09-30,0.06605394656790027,-0.014243496136133453,-0.0025383642087555463
1999-10-31,2000-10-31,0.06671780759295952,-0.013336127981334826,-0.001964644993560777
1999-11-30,2000-11-30,0.06795686630718184,-0.01221817669970652,-0.0015714531918504314
1999-12-31,2000-12-31,0.06930540193123236,-0.012916606676862992,-0.0010032203593205208
2000-01-31,2001-01-31,0.06833673622260876,-0.010130211252181987,0.0013662782016835712
2000-02-29,2001-02-28,0.06624342811096803,-0.007729941796053593,0.002481555378392351
2000-03-31,2001-03-31,0.06460087781726025,-0.004592858437890731,0.002256335239595293
2000-04-30,2001-04-30,0.06527688698388796,-0.005519118420635532,0.0029932262805907536
2000-05-31,2001-05-31,0.06592344821616829,-0.005896408084271325,0.002887868637365653
2000-06-30,2001-06-30,0.06551981063191592,-0.004885087787774087,0.001528767116739577
2000-07-31,2001-07-31,0.06475723216950856,-0.002983538098366277,0.0018991268472445715
2000-08-31,2001-08-31,0.06371841651145661,-0.0017801132181356168,0.0014252740173703999
2000-09-30,2001-09-30,0.06559000280645454,-0.0040028690358698,-0.000508286049955447
2000-10-31,2001-10-31,0.06482565076559181,-0.0026780108322482336,-0.0003982521297618369
2000-11-30,2001-11-30,0.06313715736232518,-0.0020758903686564313,-0.0014405019647818695
