model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DNS,RW,yields,m182,182.0,12,420,0.007876547342314633,0.008053574439121407,0.006015953070971428,0.006493750022528566,6.20399980357237e-05,6.486006124646969e-05,0.04347919438481074,mat,dns_yield_h12
DNS,RW,yields,m183,183.0,12,420,0.00787093172690058,0.008047583839840841,0.006012577523136551,0.006488389271104765,6.195156624953015e-05,6.476360565926745e-05,0.04342005638987945,mat,dns_yield_h12
DNS,RW,yields,m184,184.0,12,420,0.007865441038334975,0.008041434420734489,0.006009156119354453,0.006482731241914287,6.186516272752397e-05,6.466466754297343e-05,0.04329264994038706,mat,dns_yield_h12
DNS,RW,yields,m185,185.0,12,420,0.007860060042611817,0.008035132709524192,0.00600594182543478,0.006476792419166664,6.178054387346289e-05,6.456335765966558e-05,0.04310206109279213,mat,dns_yield_h12
DNS,RW,yields,m186,186.0,12,420,0.007854773643053354,0.008028685413501758,0.00600270241533276,0.0064705938100619,6.169746898360567e-05,6.44597894689759e-05,0.04285338981288034,mat,dns_yield_h12
DNS,RW,yields,m187,187.0,12,420,0.00784956831887684,0.008022098791242622,0.0059996178239583855,0.006464160095976191,6.161572279271496e-05,6.435406901645634e-05,0.04255125224546641,mat,dns_yield_h12
DNS,RW,yields,m188,188.0,12,420,0.007844433875532957,0.008015378502239497,0.005996441187105142,0.006457517586952379,6.153514282760899e-05,6.424629253416308e-05,0.042199317651091306,mat,dns_yield_h12
DNS,RW,yields,m189,189.0,12,420,0.007839363724171265,0.008008528045645997,0.005993174796825938,0.006450778742514279,6.145562359985237e-05,6.413652145789848e-05,0.041799863745431765,mat,dns_yield_h12
DNS,RW,yields,m190,190.0,12,420,0.007834353014195558,0.008001545615476738,0.005989867253392229,0.006443984807047623,6.137708715103504e-05,6.402473223655501e-05,0.0413534737753779,mat,dns_yield_h12
DNS,RW,yields,m191,191.0,12,420,0.007829395964903492,0.0079944208977362,0.005986547219045764,0.006437190014809521,6.129944117524707e-05,6.391076549016128e-05,0.04085891156030996,mat,dns_yield_h12
DNS,RW,yields,m192,192.0,12,420,0.007824484642082019,0.00798713363720225,0.005983226590869846,0.006430225021876187,6.122255991417739e-05,6.379430373852765e-05,0.040313063606603694,mat,dns_yield_h12
DNS,RW,yields,m193,193.0,12,420,0.007819610073387752,0.00797965533050463,0.005980313511853459,0.006423128221352381,6.114630169982719e-05,6.367489919365094e-05,0.039711056096589425,mat,dns_yield_h12
DNS,RW,yields,m194,194.0,12,420,0.00781476432170819,0.007971954400990845,0.005977604848848205,0.006415822208180952,6.107054140384326e-05,6.35520569714773e-05,0.03904697480913588,mat,dns_yield_h12
DNS,RW,yields,m195,195.0,12,420,0.0078099421796630625,0.007964004264150532,0.005974904593829144,0.0064082685797428604,6.099519684968022e-05,6.342536391940786e-05,0.038315382357372973,mat,dns_yield_h12
