Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m,fwd_2,fwd_3,fwd_4,fwd_5,fwd_6,fwd_7,fwd_8,fwd_9,fwd_10,F1,F2,F3,F4,F5,F6,F7,F8,F1^3,slope,level,curvature,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,CP,IV_5,IV_10,IV_30,RV_5,RV_10,RV_20
199808,-0.717713578,-1.726784964,-2.809474045,-4.159511708,-5.293575208,-6.544762213,-7.566351802,-8.460995042,-9.060070153,4.96251332,4.824109179,4.868400554,4.888493865,4.90020516,4.980854214,4.977890731,5.007556435,5.054960538,5.100250023,4.685705037,4.956983305,4.948773797,4.947050343,5.384099483,4.960109835,5.215216363,5.43419336,5.507855387,-0.434143181,-0.054144351,0.213799339,-0.038468855,0.42434562,0.060075574,-0.491541543,0.146073004,-0.081827437,0.276140844,4.941521454,0.06197444,-0.138404142,-0.094112766,-0.074019455,-0.06230816,0.018340894,0.015377411,0.045043115,0.092447218,0.137736703,-0.697635225,0.043963,0.059108,0.086912,0.083145898,0.069252516,0.068837314
199809,-1.132856402,-2.669855,-4.257927804,-5.978594029,-7.869686726,-9.784310072,-11.1837934,-12.34630917,-13.12143228,4.508164142,4.342997666,4.334787645,4.326986043,4.344368645,4.375544837,4.352205671,4.420151016,4.499544184,4.589224355,4.17783119,4.318367603,4.303581236,4.413899052,4.531425797,4.21217068,4.895768429,5.134689524,5.396345898,0.196230969,-0.146563694,-0.111844645,-0.356906853,0.043100547,-0.124121568,-0.231521995,0.064130452,0.007556186,0.246226689,4.425530222,0.121742366,-0.165166476,-0.173376497,-0.1811781,-0.163795498,-0.132619306,-0.155958471,-0.088013126,-0.008619959,0.081060213,-1.859450266,0.053999,0.072384,0.093404,0.118208862,0.105747901,0.086650626
199810,-1.315364487,-2.905109751,-4.450845109,-6.192766766,-7.491969278,-9.108477825,-10.19880904,-10.89284535,-11.46546929,4.367286062,4.272583099,4.327594747,4.370041729,4.413253223,4.538791106,4.517092768,4.605582149,4.721718707,4.818537306,4.177880135,4.437618044,4.497382676,4.5860992,5.166480521,4.38690274,5.225007814,5.650811175,5.689904696,0.022206947,0.168129075,-0.159919249,-0.37268097,0.057452186,-0.071897314,-0.308876136,0.170584342,1.10E-05,0.545954208,4.501457876,0.132306979,-0.094702964,-0.039691315,0.002755667,0.045967161,0.171505044,0.149806706,0.238296086,0.354432645,0.451251244,-0.423109225,0.056931,0.078223,0.10556,0.17880977,0.183302054,0.139647627
199811,-1.293239542,-2.775191629,-4.081575569,-5.715036747,-7.292230611,-8.842445647,-9.972127704,-11.39558968,-12.6831181,4.595956291,4.526808771,4.571539767,4.63891179,4.648090298,4.719708208,4.692674733,4.766193275,4.801099518,4.842849353,4.457661252,4.661001759,4.841027856,4.684804333,5.077797759,4.530473884,5.280823064,5.080349461,5.21859787,-0.00520445,-0.08759951,0.064856438,-0.103958653,-0.009338543,0.268716543,0.389736066,-0.112706277,-1.41E-07,0.316040581,4.672582807,0.036738764,-0.06914752,-0.024416524,0.042955498,0.052134007,0.123751917,0.096718442,0.170236984,0.205143226,0.246893062,-0.915066839,0.036543,0.054782,0.083518,0.101408453,0.0986812,0.098667829
199812,-1.371550659,-3.057256393,-4.693417373,-6.646723895,-8.576451866,-10.28232478,-11.73307873,-13.09434104,-14.12881368,4.587015152,4.58647615,4.619592005,4.667224273,4.65706419,4.702846992,4.697710012,4.763279157,4.822626159,4.905106372,4.585937149,4.685823713,4.810121079,4.616423858,4.931760999,4.666888137,5.222263169,5.297402177,5.64742829,-0.061526273,0.060155334,-0.046585736,-0.275056077,-0.032902788,0.095995116,0.004793348,-0.0731248,-0.000232907,0.318630222,4.716215571,0.088727071,-0.000539001,0.032576853,0.080209122,0.070049039,0.11583184,0.110694861,0.176264006,0.235611008,0.318091221,0.036464609,0.049904,0.069773,0.1013,0.11269265,0.090597273,0.057828067
199901,-1.645223617,-3.866144188,-5.857521861,-7.855326108,-9.863777317,-11.66034123,-13.18462833,-14.61174267,-15.78566779,4.580874442,4.584194857,4.593985168,4.620782134,4.628528629,4.679592748,4.683361334,4.73172268,4.771625036,4.827140797,4.587515272,4.613565789,4.701173033,4.659514608,4.934913342,4.705972855,5.0702521,5.090843879,5.32678265,-0.058572258,0.110505014,-0.042490054,-0.172353302,-0.043643184,0.158514133,0.088708539,0.049754991,-0.000200944,0.24294594,4.679954761,0.077139198,0.003320415,0.013110726,0.039907692,0.047654187,0.098718306,0.102486893,0.150848238,0.190750594,0.246266355,-0.636242797,0.037626,0.052316,0.086088,0.101510907,0.093669514,0.090381797
199902,-0.916902882,-2.220119077,-3.395649604,-4.553933318,-5.792953305,-6.884176895,-7.71629143,-8.418397646,-8.785258316,4.953507382,5.132973614,5.21589177,5.278018852,5.316172989,5.358056428,5.354712953,5.389053873,5.408467187,5.450121369,5.312439847,5.381728082,5.464400097,5.468789537,5.56747362,5.334652103,5.629440314,5.563773698,5.825009012,-0.180858922,-0.160650874,0.125701908,-0.0224707,0.140086219,0.261116028,0.076664206,-0.098121961,-0.005915886,0.317147755,5.299755991,-0.024625497,0.179466233,0.262384388,0.32451147,0.362665607,0.404549046,0.401205571,0.435546491,0.454959805,0.496613987,0.018511546,0.043175,0.06184,0.087882,0.126001436,0.119191907,0.097391514
199903,-1.114080318,-2.330115924,-3.096133149,-3.726603724,-4.201924281,-4.542651913,-4.753010385,-5.01990823,-4.929321628,4.790517206,4.97235489,5.083703974,5.184743817,5.244145867,5.315712681,5.353621638,5.395347077,5.415864742,5.469357775,5.154192574,5.306402141,5.487863346,5.481754065,5.673546756,5.581075376,5.687425153,5.580006057,5.950795077,-0.011003323,0.080532949,-0.201622405,0.071751216,-0.163753509,0.141858607,0.007888539,-0.061257896,-1.33E-06,0.497002885,5.228619511,-0.023289534,0.181837684,0.293186768,0.394226611,0.453628661,0.525195476,0.563104432,0.604829871,0.625347536,0.678840569,0.664100911,0.037906,0.054255,0.087792,0.080658304,0.082517081,0.075505071
199904,-1.139209718,-2.520755222,-3.473723973,-4.369358594,-5.150181369,-5.773843745,-6.228129797,-6.383398425,-6.072066638,4.830434161,5.052513867,5.157701065,5.227780893,5.287782596,5.329492023,5.356829869,5.394271466,5.431355984,5.505026004,5.274593572,5.368075461,5.43802038,5.527789406,5.538039156,5.520856944,5.656362645,5.728032129,6.168056188,-0.036132996,0.329636497,-0.286174738,-0.115297207,-0.123022788,0.021083352,-0.067312409,-0.110507645,-4.72E-05,0.452512138,5.281774156,-0.009012661,0.222079706,0.327266904,0.397346732,0.457348435,0.499057862,0.526395708,0.563837305,0.600921823,0.674591843,0.50279353,0.036128,0.056687,0.092152,0.092980851,0.091523397,0.071316741
199905,-0.865741489,-1.712994315,-2.167753742,-2.629636897,-3.025035531,-3.302666042,-3.515823632,-3.76095994,-3.828718829,5.062234383,5.37856855,5.530889377,5.63670888,5.700008466,5.731313851,5.744566946,5.755103748,5.75478343,5.773988199,5.694902718,5.83553103,5.954167389,5.953206811,5.887840777,5.824085518,5.828861359,5.752220882,5.94683112,-0.179637598,-0.335183357,0.319123417,-0.010596437,0.093922231,0.238451972,0.093285021,0.087173606,-0.005796845,0.395419648,5.617521738,-0.123730092,0.316334167,0.468654994,0.574474497,0.637774083,0.669079468,0.682332564,0.692869365,0.692549047,0.711753816,0.852931126,0.042184,0.055989,0.077007,0.10924719,0.108312588,0.088017698
