model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m161,161,12,267,0.015331557020545006,0.007930060848593712,0.010668116621673107,0.006300978362560272,0.00023505663557443768,6.288586155278608e-05,-2.7378296852111816,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m162,162,12,267,0.015324442647397518,0.007927876897156239,0.01065846998244524,0.006298854015767574,0.00023483853146899492,6.285122799454257e-05,-2.736419200897217,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m163,163,12,267,0.015318441204726696,0.007926071994006634,0.010649556294083595,0.006297019310295582,0.00023465463891625404,6.282261165324599e-05,-2.735193967819214,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m164,164,12,267,0.015313496813178062,0.00792465079575777,0.010641288943588734,0.006295826751738787,0.00023450319713447243,6.280009256443009e-05,-2.734121799468994,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m165,165,12,267,0.015309580601751804,0.007923628203570843,0.010633740574121475,0.006294948514550924,0.000234383245697245,6.27838890068233e-05,-2.733175039291382,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m166,166,12,267,0.015306644141674042,0.007923000492155552,0.010626391507685184,0.0062943631783127785,0.00023429335851687938,6.27739354968071e-05,-2.732335090637207,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m167,167,12,267,0.015304658561944962,0.007922773249447346,0.010619212873280048,0.006295215804129839,0.0002342325751669705,6.277033389778808e-05,-2.7315807342529297,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m168,168,12,267,0.015303588472306728,0.007922939024865627,0.010612216778099537,0.006296588107943535,0.00023419981880579144,6.277296779444441e-05,-2.7309024333953857,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m169,169,12,267,0.015303407795727253,0.007923493161797523,0.010605843737721443,0.00629825983196497,0.00023419428907800466,6.278174259932712e-05,-2.730292797088623,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m170,170,12,267,0.01530406903475523,0.007924419827759266,0.010599756613373756,0.0063002160750329494,0.00023421453079208732,6.279643275775015e-05,-2.7297425270080566,mat,dlns_lee2023_h12
