Time,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m
199307,3.55981106875929,4.08811917747804,4.52596043285149,4.89108245340255,5.17770827856638,5.39695544387664,5.56564418373261,5.72963571762588,5.8838722283515,6.0106911290361
199308,3.40626011050087,3.82103031346644,4.19695826043381,4.51435523484787,4.81198897657904,5.02740096619352,5.24136726261783,5.43372431374958,5.58761690182258,5.72018215748232
199309,3.40206481461459,3.83989927811548,4.24729446107186,4.56365235144638,4.8050435757855,5.0120138725883,5.18443417635819,5.33963054037471,5.49758829398193,5.64925528078998
199310,3.49367521911108,3.95419128401262,4.2987938291374,4.6119177768033,4.85494975969379,5.06505242532658,5.24664046941983,5.38657078404049,5.51535129187759,5.64259534500513
199311,3.61867598504686,4.16729773423981,4.54731932695251,4.91546466493939,5.17943225742904,5.40069460887166,5.60949212149852,5.7715904223779,5.89987953817218,6.02656131981527
199312,3.65191804203741,4.19734932607426,4.57201834860094,4.95474828582424,5.22456590658239,5.4095383339046,5.57834560975147,5.76109194063628,5.9029031571528,6.02712942215046
199401,3.5080286352666,4.06864282724227,4.44011209811176,4.76350171362658,5.0251099039385,5.21538157966713,5.41697162660851,5.59766506635337,5.7210209823431,5.83463231769229
199402,4.04096139784745,4.63961565679159,5.02442388176268,5.36070036950391,5.60756385569785,5.80862869315532,6.00333858253128,6.14166717869174,6.25354370608952,6.35710116317149
199403,4.49943290631712,5.17553799288875,5.65608473855157,6.00266640603987,6.24657274916221,6.43943927804541,6.61540137577979,6.7311203242956,6.8564947126134,6.9570436073781
199404,4.98401604419744,5.681641214887,6.12146058240489,6.4232675058751,6.59947939470024,6.72176766750058,6.84583391060419,6.96326525651853,7.0950936488343,7.17986445509705
199405,5.25017821671282,5.92690370360933,6.31518951068591,6.55673671755716,6.71805141733234,6.83461984967166,6.96979111663578,7.07907818178736,7.18490702256244,7.26687366467111
199406,5.38156470973639,6.08002494994638,6.46402744500617,6.73864885512917,6.90286109657917,7.02439079809978,7.13082518405466,7.22860081399922,7.35719158004574,7.44151130724458
199407,5.29494796326278,5.9126255647339,6.25007537208373,6.49552247907398,6.65956208801554,6.78425003477563,6.886918084632,7.00455883792357,7.1260908401492,7.20949655696361
199408,5.42452343092466,6.03512329025829,6.36033996516949,6.59022819804199,6.73514960111193,6.8635567028431,6.97862244245209,7.08541725819124,7.19238249841176,7.2602250605314
199409,5.84285463879985,6.47562805123215,6.82759492793226,7.07010265414303,7.21104814038331,7.30889785262351,7.39548886669328,7.50229005277809,7.59672410818372,7.6595448715379
199410,6.03993366078741,6.6904947961432,7.03134125753171,7.2608223152246,7.39726892042359,7.49138963240123,7.57705261119986,7.67355283821431,7.76069462049427,7.81941501158654
199411,6.72015196731048,7.26394673214243,7.51805971369589,7.61830830042976,7.6678784084922,7.68442796196017,7.6920287289403,7.72482215537623,7.82409585212328,7.87184676080781
199412,7.10131202242788,7.54797386929506,7.6805098986293,7.70882572353244,7.69965033059525,7.66764630657089,7.67709501344467,7.72733321334351,7.73792266602451,7.75501909338437
199501,6.72894847043066,7.12943432699097,7.30265780740223,7.40184947195754,7.4388514396211,7.44508102244579,7.46147223269527,7.51038884765819,7.52885388687524,7.55980423024498
199502,6.33835160136744,6.66467319542207,6.81313348912222,6.93056024014129,6.99267248246395,7.05861073150283,7.10159447988145,7.15691267642825,7.18328980559035,7.23197168765587
199503,6.36914738565828,6.68084724793173,6.83247778020866,6.92317102346466,6.99736214156075,7.02755450940057,7.08597877753707,7.17744306783993,7.18333198748349,7.23689899288531
199504,6.21856410379998,6.48360618026916,6.63768010388192,6.72308640002199,6.7943380695889,6.83347699850457,6.89814062038761,6.99522014586324,7.03555508868621,7.10005566591096
199505,5.75643255429933,5.78225168346459,5.87854725113143,5.95332049046672,6.00171289021642,6.05364819151504,6.14034031178611,6.25750245002594,6.32763551135219,6.38406214164611
199506,5.6533050765954,5.75250611370507,5.81970115145548,5.89328892680986,5.92483881526949,5.97190829752004,6.07375105104416,6.18811513082703,6.24431091825025,6.30085452365067
