Time,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m
197801,7.05384023657653,7.28316440013772,7.42189395972476,7.53645944835072,7.58930024498252,7.62908504804459,7.6719629226909,7.71332541526365,7.75449246110328,7.79861064516998
197802,7.09613344467544,7.37751782972191,7.54836606986083,7.65155693363589,7.71676880243268,7.73411071861021,7.78917842576254,7.8295214529953,7.86175132781587,7.89418468986856
197803,7.20755850853332,7.50830125108802,7.64098065734319,7.73008791947729,7.79762150029318,7.82219570716151,7.87772093870199,7.91601506804531,7.94496785504115,7.96906306904188
197804,7.34475955590472,7.66618538594028,7.76650306119354,7.82911211671108,7.8567896603928,7.9033971016386,7.95654674810053,7.996781269599,8.02801524973549,8.05444853777089
197805,7.71643675985231,7.93267746740231,7.98963179467533,8.03648901416271,8.0947248483762,8.11608672825334,8.15107546340664,8.19903023606835,8.23129653772741,8.24949730704157
197806,8.09133603301553,8.26836173355637,8.30679572172925,8.30029840792281,8.30631206137982,8.30410030457355,8.33883737200327,8.38744674128517,8.41413210079799,8.42532700664023
197807,8.06845045102109,8.21631517726285,8.24706101799149,8.21011258970836,8.24833915222707,8.26197250599883,8.2908019309193,8.31943233757203,8.33549899905001,8.34317323170178
197808,8.1683611447226,8.21317917360691,8.17071283447638,8.1819174576002,8.2021317421206,8.19160041859025,8.19489353071116,8.19990165651641,8.18784332699935,8.17474362775828
197809,8.57536616252935,8.43079738911892,8.2646512891373,8.25149031721859,8.27368234137864,8.29274071460017,8.31021475856589,8.33462938166624,8.33562599388301,8.33438766132239
197810,9.43974384956352,9.14817048221963,8.9976003034681,8.92110265904167,8.75416771878222,8.69828057959215,8.69128714427112,8.69256720036583,8.66646367119208,8.64246715342137
197811,9.69591632591941,9.29821439825487,8.87040828904219,8.70106402663822,8.60295997945618,8.59307093949653,8.60400205196926,8.60843189518829,8.58841606759503,8.56628713463998
197812,10.1746613289943,9.75757603552664,9.3621860663343,9.11386223307062,9.00109976039447,8.94542974991796,8.92234747775674,8.90438746574726,8.86397390124085,8.82722828314742
197901,9.74959088778083,9.37743955171339,8.92201191450536,8.73131762569985,8.69016296051177,8.70058898269543,8.70125786507799,8.70235153213383,8.69041879846157,8.67023025525328
197902,9.8656989653215,9.55499556656707,9.09357457637238,9.04273935629882,9.00066628948112,8.95331962492118,8.95420510475902,8.95022722636862,8.91124190167112,8.86486253569055
197903,9.65170208595084,9.45054142869756,9.03025827386233,8.95412372320508,8.91526922520849,8.87087946092567,8.83892442428114,8.80868557948811,8.81507660386109,8.81869067293606
197904,9.79739631062197,9.59377537054325,9.2035939886207,9.08793728800572,8.98740899209599,8.96294309967385,8.98520943234146,8.97975888976244,9.0121221719427,9.02014856428464
197905,9.50844665509836,9.23940857916748,8.85014515802876,8.77989563315598,8.70338270529603,8.68599999617884,8.71575430993061,8.7406780270088,8.78669410769372,8.80905650274202
197906,8.97803342161932,8.69574589018456,8.49693979068787,8.48099884382471,8.41339138339149,8.42490403063011,8.51206422306911,8.56039476320177,8.57527608362455,8.5846743628665
197907,9.41436753742125,9.02359774858098,8.77095203491127,8.72060389748607,8.65458451497538,8.68728198637219,8.75316867777315,8.77641559129422,8.76820005886061,8.75244404113112
197908,10.0246924913105,9.51034910559009,9.22440158364406,9.08308064818657,9.01786924307111,9.01010848190199,9.01667200364958,8.99781415577227,8.95663544326569,8.9134431451145
197909,10.4971551051654,9.81822822468783,9.46297678497808,9.24260452870492,9.1585089496365,9.15054525640044,9.1547172729081,9.1468729376281,9.15078952394102,9.1454419780673
197910,12.3828834355428,11.6153448108613,11.1952052772347,10.8846912640167,10.6330050747586,10.5712037951799,10.5233281547324,10.4420998814589,10.3721788326379,10.3067696794438
197911,11.2500545673905,10.7208483531033,10.177270462021,10.0322172767575,9.97318585461447,10.0818340353831,10.0910652157718,10.0509468416411,9.99706396008969,9.94179571070712
197912,11.3083635359978,10.7638382250229,10.3080764112137,10.0246039593471,9.93354280881341,10.0308258557022,10.0022485839913,9.94425002898929,9.91952808090022,9.91714421639393
198001,11.7457884240753,11.2166317851563,10.7899176115261,10.7137162464851,10.7221155157179,10.7627197250489,10.7863125767203,10.778986971005,10.7677088760557,10.7721351506259
198002,14.4209003302214,13.9577897202564,13.1788266363325,12.7826158308882,12.3965311682781,12.1760143368873,12.0065428373469,11.9519255076529,11.9013908795999,11.8211959390587
198003,15.0080699874863,13.9619863780254,13.004983760907,12.2754745148706,12.0258359238517,11.9265642095115,11.7673159364683,11.6591296081963,11.6002381652765,11.581273678657
198004,10.5758811728278,10.1944415998293,10.1313721775378,9.94971716210215,9.90649679702071,10.1066164991396,10.232181005651,10.2761058286112,10.3040512195287,10.3322579007201
198005,8.57723405804998,8.86342945160261,9.08843281928673,9.22101482122618,9.36396344488009,9.54237346120821,9.68140805357575,9.78751786983365,9.87330681552393,9.94644608067533
198006,8.3750029151284,8.85095335438548,9.08340360603374,9.12858639042439,9.24632457564299,9.36776839828917,9.45661918337491,9.56372899197986,9.63412888605838,9.7029718700493
