Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10
198309,0.4201,0.7602,1.1133,0.9604,0.9794,0.8731,0.84,-0.2109,-1.2452
198310,0.6099,1.0989,1.5804,1.3271,1.4388,1.4072,1.3294,0.4714,-0.3414
198311,0.4986,0.8266,1.3017,0.9834,1.0165,0.8609,0.6164,-0.0369,-0.9812
198312,0.5101,0.7577,1.1362,0.7952,0.88,0.8098,0.5148,-0.189,-1.1521
198401,0.534,0.7908,1.1066,0.8848,0.9735,0.9128,0.6382,-0.0027,-0.92
198402,0.5169,0.7219,1.1426,0.844,0.8669,0.6932,0.2516,-0.2774,-1.1483
198403,0.4026,0.5461,0.7355,0.3861,0.4461,0.2636,-0.1734,-0.7705,-1.6766
198404,0.5138,0.7136,0.9137,0.5959,0.5824,0.3629,-0.1765,-0.7295,-1.6262
198405,0.4745,0.6829,0.7679,0.4273,0.309,-0.1322,-0.7029,-1.1895,-2.1388
198406,0.5752,0.6621,0.606,0.0526,-0.0442,-0.5649,-1.1839,-1.6713,-2.6488
198407,0.3267,0.06,-0.1757,-0.7506,-0.9409,-1.4688,-2.0577,-2.6851,-3.6312
198408,0.2404,-0.0328,-0.2479,-0.8408,-1.1022,-1.6884,-2.3047,-2.9387,-3.9128
198409,0.3004,0.1518,-0.0446,-0.6321,-0.8598,-1.4498,-2.1194,-2.7829,-3.7757
198410,0.3808,0.3432,0.207,-0.3674,-0.505,-0.944,-1.63,-2.2153,-3.2582
198411,0.5986,0.7039,1.0308,0.4183,0.4626,0.2464,-0.5904,-1.1407,-2.239
198412,0.623,0.918,1.2958,0.7764,1.0345,0.9216,-0.0253,-0.428,-1.5273
198501,0.6642,0.9113,1.2039,0.6424,0.8139,0.5708,-0.4781,-0.583,-1.649
198502,0.5573,0.8194,1.1902,0.6275,0.8537,0.6201,-0.3605,-0.5553,-1.6688
198503,0.6553,0.8534,1.2518,0.693,0.9951,0.6478,-0.2709,-0.4639,-1.5122
198504,0.8159,1.1272,1.591,1.0967,1.5857,1.2212,0.5792,0.4936,-0.6802
198505,0.8586,1.2061,1.8546,1.261,1.7975,1.327,0.7047,0.7259,-0.2483
198506,1.077,1.6203,2.2791,2.0195,2.8571,2.3091,1.6721,1.7908,0.8597
198507,1.0125,1.6078,2.3891,2.0254,2.8313,2.1983,1.8251,1.8342,0.9054
198508,1.0423,1.6676,2.303,1.9929,2.6739,1.9572,1.6872,1.5914,0.8906
198509,0.976,1.4894,2.2485,2.0394,2.6844,2.0772,1.896,1.7637,1.258
